user_id,favorite_genre,avoid_rank,movie_id,title,global_avg_rating
8,Action,3,1087,Bloodsport 2 (1995),1.7
8,Action,4,247,Turbo: A Power Rangers Movie (1997),1.8
8,Action,5,976,Solo (1996),1.8333
9,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
9,Drama,2,981,Dangerous Ground (1997),1.75
9,Drama,3,1272,Talking About Sex (1994),1.8
9,Drama,4,1165,Big Bully (1996),1.8571
9,Drama,5,375,Showgirls (1995),1.9565
10,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
10,Drama,2,981,Dangerous Ground (1997),1.75
10,Drama,3,1272,Talking About Sex (1994),1.8
10,Drama,4,1165,Big Bully (1996),1.8571
10,Drama,5,375,Showgirls (1995),1.9565
11,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
11,Drama,2,981,Dangerous Ground (1997),1.75
11,Drama,3,1272,Talking About Sex (1994),1.8
11,Drama,4,1165,Big Bully (1996),1.8571
11,Drama,5,375,Showgirls (1995),1.9565
12,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
12,Drama,2,981,Dangerous Ground (1997),1.75
12,Drama,3,1272,Talking About Sex (1994),1.8
12,Drama,4,1165,Big Bully (1996),1.8571
12,Drama,5,375,Showgirls (1995),1.9565
13,Drama,1,981,Dangerous Ground (1997),1.75
13,Drama,2,1272,Talking About Sex (1994),1.8
13,Drama,3,1165,Big Bully (1996),1.8571
13,Drama,4,375,Showgirls (1995),1.9565
13,Drama,5,1392,"Locusts, The (1997)",2.0
14,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
14,Drama,2,981,Dangerous Ground (1997),1.75
14,Drama,3,1272,Talking About Sex (1994),1.8
14,Drama,4,1165,Big Bully (1996),1.8571
14,Drama,5,375,Showgirls (1995),1.9565
15,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
15,Drama,2,981,Dangerous Ground (1997),1.75
15,Drama,3,1272,Talking About Sex (1994),1.8
15,Drama,4,1165,Big Bully (1996),1.8571
15,Drama,5,375,Showgirls (1995),1.9565
16,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
16,Drama,2,981,Dangerous Ground (1997),1.75
16,Drama,3,1272,Talking About Sex (1994),1.8
16,Drama,4,1165,Big Bully (1996),1.8571
16,Drama,5,375,Showgirls (1995),1.9565
17,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
17,Drama,2,981,Dangerous Ground (1997),1.75
17,Drama,3,1272,Talking About Sex (1994),1.8
17,Drama,4,1165,Big Bully (1996),1.8571
17,Drama,5,375,Showgirls (1995),1.9565
18,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
18,Drama,2,981,Dangerous Ground (1997),1.75
18,Drama,3,1272,Talking About Sex (1994),1.8
18,Drama,4,1165,Big Bully (1996),1.8571
18,Drama,5,375,Showgirls (1995),1.9565
19,Comedy,1,1287,Ed (1996),1.3333
19,Comedy,2,104,Theodore Rex (1995),1.4
19,Comedy,3,1246,Bushwhacked (1995),1.5714
19,Comedy,4,1509,Getting Even with Dad (1994),1.6
19,Comedy,5,1162,Phat Beach (1996),1.6
20,Action,1,314,3 Ninjas: High Noon At Mega Mountain (1998),1.0
20,Action,2,1250,Best of the Best 3: No Turning Back (1995),1.5
20,Action,3,1087,Bloodsport 2 (1995),1.7
20,Action,4,247,Turbo: A Power Rangers Movie (1997),1.8
20,Action,5,976,Solo (1996),1.8333
21,Thriller,1,1274,Robocop 3 (1993),1.7273
21,Thriller,2,743,"Crow: City of Angels, The (1996)",1.9487
21,Thriller,3,1393,Stag (1997),2.1111
21,Thriller,4,1089,Speed 2: Cruise Control (1997),2.1316
21,Thriller,5,1229,Poison Ivy II (1995),2.1538
22,Comedy,1,1287,Ed (1996),1.3333
22,Comedy,2,104,Theodore Rex (1995),1.4
22,Comedy,3,1246,Bushwhacked (1995),1.5714
22,Comedy,4,1162,Phat Beach (1996),1.6
22,Comedy,5,1509,Getting Even with Dad (1994),1.6
23,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
23,Drama,2,981,Dangerous Ground (1997),1.75
23,Drama,3,1272,Talking About Sex (1994),1.8
23,Drama,4,1165,Big Bully (1996),1.8571
23,Drama,5,375,Showgirls (1995),1.9565
24,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
24,Drama,2,981,Dangerous Ground (1997),1.75
24,Drama,3,1272,Talking About Sex (1994),1.8
24,Drama,4,1165,Big Bully (1996),1.8571
24,Drama,5,375,Showgirls (1995),1.9565
25,Comedy,1,1287,Ed (1996),1.3333
25,Comedy,2,104,Theodore Rex (1995),1.4
25,Comedy,3,1246,Bushwhacked (1995),1.5714
25,Comedy,4,1162,Phat Beach (1996),1.6
25,Comedy,5,1509,Getting Even with Dad (1994),1.6
26,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
26,Drama,2,981,Dangerous Ground (1997),1.75
26,Drama,3,1272,Talking About Sex (1994),1.8
26,Drama,4,1165,Big Bully (1996),1.8571
26,Drama,5,375,Showgirls (1995),1.9565
27,Thriller,1,758,Lawnmower Man 2: Beyond Cyberspace (1996),1.7143
27,Thriller,2,1274,Robocop 3 (1993),1.7273
27,Thriller,3,976,Solo (1996),1.8333
27,Thriller,4,743,"Crow: City of Angels, The (1996)",1.9487
27,Thriller,5,1393,Stag (1997),2.1111
28,Thriller,1,758,Lawnmower Man 2: Beyond Cyberspace (1996),1.7143
28,Thriller,2,1274,Robocop 3 (1993),1.7273
28,Thriller,3,976,Solo (1996),1.8333
28,Thriller,4,743,"Crow: City of Angels, The (1996)",1.9487
28,Thriller,5,1393,Stag (1997),2.1111
29,Thriller,1,758,Lawnmower Man 2: Beyond Cyberspace (1996),1.7143
29,Thriller,2,1274,Robocop 3 (1993),1.7273
29,Thriller,3,976,Solo (1996),1.8333
29,Thriller,4,743,"Crow: City of Angels, The (1996)",1.9487
29,Thriller,5,1393,Stag (1997),2.1111
30,Comedy,1,1287,Ed (1996),1.3333
30,Comedy,2,104,Theodore Rex (1995),1.4
30,Comedy,3,1246,Bushwhacked (1995),1.5714
30,Comedy,4,1509,Getting Even with Dad (1994),1.6
30,Comedy,5,1162,Phat Beach (1996),1.6
31,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
31,Drama,2,981,Dangerous Ground (1997),1.75
31,Drama,3,1272,Talking About Sex (1994),1.8
31,Drama,4,1165,Big Bully (1996),1.8571
31,Drama,5,375,Showgirls (1995),1.9565
32,Comedy,1,1287,Ed (1996),1.3333
32,Comedy,2,104,Theodore Rex (1995),1.4
32,Comedy,3,1246,Bushwhacked (1995),1.5714
32,Comedy,4,1509,Getting Even with Dad (1994),1.6
32,Comedy,5,1162,Phat Beach (1996),1.6
33,Thriller,1,758,Lawnmower Man 2: Beyond Cyberspace (1996),1.7143
33,Thriller,2,1274,Robocop 3 (1993),1.7273
33,Thriller,3,976,Solo (1996),1.8333
33,Thriller,4,743,"Crow: City of Angels, The (1996)",1.9487
33,Thriller,5,1393,Stag (1997),2.1111
34,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
34,Drama,2,981,Dangerous Ground (1997),1.75
34,Drama,3,1272,Talking About Sex (1994),1.8
34,Drama,4,1165,Big Bully (1996),1.8571
34,Drama,5,375,Showgirls (1995),1.9565
35,Action,1,314,3 Ninjas: High Noon At Mega Mountain (1998),1.0
35,Action,2,1250,Best of the Best 3: No Turning Back (1995),1.5
35,Action,3,1087,Bloodsport 2 (1995),1.7
35,Action,4,247,Turbo: A Power Rangers Movie (1997),1.8
35,Action,5,976,Solo (1996),1.8333
36,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
36,Drama,2,981,Dangerous Ground (1997),1.75
36,Drama,3,1272,Talking About Sex (1994),1.8
36,Drama,4,1165,Big Bully (1996),1.8571
36,Drama,5,375,Showgirls (1995),1.9565
37,Action,1,314,3 Ninjas: High Noon At Mega Mountain (1998),1.0
37,Action,2,1250,Best of the Best 3: No Turning Back (1995),1.5
37,Action,3,1087,Bloodsport 2 (1995),1.7
37,Action,4,247,Turbo: A Power Rangers Movie (1997),1.8
37,Action,5,976,Solo (1996),1.8333
38,Comedy,1,1287,Ed (1996),1.3333
38,Comedy,2,104,Theodore Rex (1995),1.4
38,Comedy,3,1246,Bushwhacked (1995),1.5714
38,Comedy,4,1162,Phat Beach (1996),1.6
38,Comedy,5,1509,Getting Even with Dad (1994),1.6
39,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
39,Drama,2,981,Dangerous Ground (1997),1.75
39,Drama,3,1272,Talking About Sex (1994),1.8
39,Drama,4,1165,Big Bully (1996),1.8571
39,Drama,5,375,Showgirls (1995),1.9565
40,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
40,Drama,2,981,Dangerous Ground (1997),1.75
40,Drama,3,1272,Talking About Sex (1994),1.8
40,Drama,4,1165,Big Bully (1996),1.8571
40,Drama,5,375,Showgirls (1995),1.9565
41,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
41,Drama,2,981,Dangerous Ground (1997),1.75
41,Drama,3,1272,Talking About Sex (1994),1.8
41,Drama,4,1165,Big Bully (1996),1.8571
41,Drama,5,375,Showgirls (1995),1.9565
42,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
42,Drama,2,981,Dangerous Ground (1997),1.75
42,Drama,3,1272,Talking About Sex (1994),1.8
42,Drama,4,1165,Big Bully (1996),1.8571
42,Drama,5,375,Showgirls (1995),1.9565
43,Comedy,1,1287,Ed (1996),1.3333
43,Comedy,2,104,Theodore Rex (1995),1.4
43,Comedy,3,1246,Bushwhacked (1995),1.5714
43,Comedy,4,1509,Getting Even with Dad (1994),1.6
43,Comedy,5,1162,Phat Beach (1996),1.6
44,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
44,Drama,2,981,Dangerous Ground (1997),1.75
44,Drama,3,1272,Talking About Sex (1994),1.8
44,Drama,4,1165,Big Bully (1996),1.8571
44,Drama,5,375,Showgirls (1995),1.9565
45,Comedy,1,1287,Ed (1996),1.3333
45,Comedy,2,104,Theodore Rex (1995),1.4
45,Comedy,3,1246,Bushwhacked (1995),1.5714
45,Comedy,4,1162,Phat Beach (1996),1.6
45,Comedy,5,1509,Getting Even with Dad (1994),1.6
46,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
46,Drama,2,981,Dangerous Ground (1997),1.75
46,Drama,3,1272,Talking About Sex (1994),1.8
46,Drama,4,1165,Big Bully (1996),1.8571
46,Drama,5,375,Showgirls (1995),1.9565
47,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
47,Drama,2,981,Dangerous Ground (1997),1.75
47,Drama,3,1272,Talking About Sex (1994),1.8
47,Drama,4,1165,Big Bully (1996),1.8571
47,Drama,5,375,Showgirls (1995),1.9565
48,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
48,Drama,2,981,Dangerous Ground (1997),1.75
48,Drama,3,1272,Talking About Sex (1994),1.8
48,Drama,4,1165,Big Bully (1996),1.8571
48,Drama,5,375,Showgirls (1995),1.9565
49,Comedy,1,1287,Ed (1996),1.3333
49,Comedy,2,104,Theodore Rex (1995),1.4
49,Comedy,3,1246,Bushwhacked (1995),1.5714
49,Comedy,4,1509,Getting Even with Dad (1994),1.6
49,Comedy,5,1162,Phat Beach (1996),1.6
50,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
50,Drama,2,981,Dangerous Ground (1997),1.75
50,Drama,3,1272,Talking About Sex (1994),1.8
50,Drama,4,1165,Big Bully (1996),1.8571
50,Drama,5,375,Showgirls (1995),1.9565
51,Adventure,1,457,Free Willy 3: The Rescue (1997),1.7407
51,Adventure,2,247,Turbo: A Power Rangers Movie (1997),1.8
51,Adventure,3,890,Mortal Kombat: Annihilation (1997),1.9535
51,Adventure,4,1383,"Second Jungle Book: Mowgli & Baloo, The (1997)",2.0
51,Adventure,5,398,Super Mario Bros. (1993),2.0769
52,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
52,Drama,2,981,Dangerous Ground (1997),1.75
52,Drama,3,1272,Talking About Sex (1994),1.8
52,Drama,4,1165,Big Bully (1996),1.8571
52,Drama,5,375,Showgirls (1995),1.9565
53,Action,1,314,3 Ninjas: High Noon At Mega Mountain (1998),1.0
53,Action,2,1250,Best of the Best 3: No Turning Back (1995),1.5
53,Action,3,247,Turbo: A Power Rangers Movie (1997),1.8
53,Action,4,976,Solo (1996),1.8333
53,Action,5,1215,Barb Wire (1996),1.9333
54,Thriller,1,758,Lawnmower Man 2: Beyond Cyberspace (1996),1.7143
54,Thriller,2,1274,Robocop 3 (1993),1.7273
54,Thriller,3,976,Solo (1996),1.8333
54,Thriller,4,743,"Crow: City of Angels, The (1996)",1.9487
54,Thriller,5,1393,Stag (1997),2.1111
55,Action,1,314,3 Ninjas: High Noon At Mega Mountain (1998),1.0
55,Action,2,1250,Best of the Best 3: No Turning Back (1995),1.5
55,Action,3,1087,Bloodsport 2 (1995),1.7
55,Action,4,247,Turbo: A Power Rangers Movie (1997),1.8
55,Action,5,976,Solo (1996),1.8333
56,Comedy,1,1287,Ed (1996),1.3333
56,Comedy,2,104,Theodore Rex (1995),1.4
56,Comedy,3,1246,Bushwhacked (1995),1.5714
56,Comedy,4,1162,Phat Beach (1996),1.6
56,Comedy,5,1509,Getting Even with Dad (1994),1.6
57,Comedy,1,1287,Ed (1996),1.3333
57,Comedy,2,104,Theodore Rex (1995),1.4
57,Comedy,3,1246,Bushwhacked (1995),1.5714
57,Comedy,4,1162,Phat Beach (1996),1.6
57,Comedy,5,1509,Getting Even with Dad (1994),1.6
58,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
58,Drama,2,981,Dangerous Ground (1997),1.75
58,Drama,3,1272,Talking About Sex (1994),1.8
58,Drama,4,1165,Big Bully (1996),1.8571
58,Drama,5,375,Showgirls (1995),1.9565
59,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
59,Drama,2,981,Dangerous Ground (1997),1.75
59,Drama,3,1272,Talking About Sex (1994),1.8
59,Drama,4,1165,Big Bully (1996),1.8571
59,Drama,5,375,Showgirls (1995),1.9565
60,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
60,Drama,2,981,Dangerous Ground (1997),1.75
60,Drama,3,1272,Talking About Sex (1994),1.8
60,Drama,4,1165,Big Bully (1996),1.8571
60,Drama,5,375,Showgirls (1995),1.9565
61,Thriller,1,758,Lawnmower Man 2: Beyond Cyberspace (1996),1.7143
61,Thriller,2,1274,Robocop 3 (1993),1.7273
61,Thriller,3,976,Solo (1996),1.8333
61,Thriller,4,743,"Crow: City of Angels, The (1996)",1.9487
61,Thriller,5,1393,Stag (1997),2.1111
62,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
62,Drama,2,981,Dangerous Ground (1997),1.75
62,Drama,3,1272,Talking About Sex (1994),1.8
62,Drama,4,1165,Big Bully (1996),1.8571
62,Drama,5,375,Showgirls (1995),1.9565
63,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
63,Drama,2,981,Dangerous Ground (1997),1.75
63,Drama,3,1272,Talking About Sex (1994),1.8
63,Drama,4,1165,Big Bully (1996),1.8571
63,Drama,5,375,Showgirls (1995),1.9565
64,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
64,Drama,2,981,Dangerous Ground (1997),1.75
64,Drama,3,1272,Talking About Sex (1994),1.8
64,Drama,4,1165,Big Bully (1996),1.8571
64,Drama,5,375,Showgirls (1995),1.9565
65,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
65,Drama,2,981,Dangerous Ground (1997),1.75
65,Drama,3,1272,Talking About Sex (1994),1.8
65,Drama,4,1165,Big Bully (1996),1.8571
65,Drama,5,375,Showgirls (1995),1.9565
66,Action,1,314,3 Ninjas: High Noon At Mega Mountain (1998),1.0
66,Action,2,1250,Best of the Best 3: No Turning Back (1995),1.5
66,Action,3,1087,Bloodsport 2 (1995),1.7
66,Action,4,247,Turbo: A Power Rangers Movie (1997),1.8
66,Action,5,976,Solo (1996),1.8333
67,Comedy,1,1287,Ed (1996),1.3333
67,Comedy,2,104,Theodore Rex (1995),1.4
67,Comedy,3,1246,Bushwhacked (1995),1.5714
67,Comedy,4,1162,Phat Beach (1996),1.6
67,Comedy,5,1509,Getting Even with Dad (1994),1.6
68,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
68,Drama,2,981,Dangerous Ground (1997),1.75
68,Drama,3,1272,Talking About Sex (1994),1.8
68,Drama,4,1165,Big Bully (1996),1.8571
68,Drama,5,375,Showgirls (1995),1.9565
69,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
69,Drama,2,981,Dangerous Ground (1997),1.75
69,Drama,3,1272,Talking About Sex (1994),1.8
69,Drama,4,1165,Big Bully (1996),1.8571
69,Drama,5,375,Showgirls (1995),1.9565
70,Action,1,314,3 Ninjas: High Noon At Mega Mountain (1998),1.0
70,Action,2,1250,Best of the Best 3: No Turning Back (1995),1.5
70,Action,3,1087,Bloodsport 2 (1995),1.7
70,Action,4,247,Turbo: A Power Rangers Movie (1997),1.8
70,Action,5,976,Solo (1996),1.8333
71,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
71,Drama,2,981,Dangerous Ground (1997),1.75
71,Drama,3,1272,Talking About Sex (1994),1.8
71,Drama,4,1165,Big Bully (1996),1.8571
71,Drama,5,375,Showgirls (1995),1.9565
72,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
72,Drama,2,981,Dangerous Ground (1997),1.75
72,Drama,3,1272,Talking About Sex (1994),1.8
72,Drama,4,1165,Big Bully (1996),1.8571
72,Drama,5,375,Showgirls (1995),1.9565
73,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
73,Drama,2,981,Dangerous Ground (1997),1.75
73,Drama,3,1272,Talking About Sex (1994),1.8
73,Drama,4,1165,Big Bully (1996),1.8571
73,Drama,5,375,Showgirls (1995),1.9565
74,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
74,Drama,2,981,Dangerous Ground (1997),1.75
74,Drama,3,1272,Talking About Sex (1994),1.8
74,Drama,4,1165,Big Bully (1996),1.8571
74,Drama,5,375,Showgirls (1995),1.9565
75,Comedy,1,1287,Ed (1996),1.3333
75,Comedy,2,104,Theodore Rex (1995),1.4
75,Comedy,3,1246,Bushwhacked (1995),1.5714
75,Comedy,4,1509,Getting Even with Dad (1994),1.6
75,Comedy,5,1162,Phat Beach (1996),1.6
76,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
76,Drama,2,981,Dangerous Ground (1997),1.75
76,Drama,3,1272,Talking About Sex (1994),1.8
76,Drama,4,1165,Big Bully (1996),1.8571
76,Drama,5,375,Showgirls (1995),1.9565
77,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
77,Drama,2,981,Dangerous Ground (1997),1.75
77,Drama,3,1272,Talking About Sex (1994),1.8
77,Drama,4,1165,Big Bully (1996),1.8571
77,Drama,5,375,Showgirls (1995),1.9565
78,Comedy,1,1287,Ed (1996),1.3333
78,Comedy,2,104,Theodore Rex (1995),1.4
78,Comedy,3,1246,Bushwhacked (1995),1.5714
78,Comedy,4,1509,Getting Even with Dad (1994),1.6
78,Comedy,5,1162,Phat Beach (1996),1.6
79,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
79,Drama,2,981,Dangerous Ground (1997),1.75
79,Drama,3,1272,Talking About Sex (1994),1.8
79,Drama,4,1165,Big Bully (1996),1.8571
79,Drama,5,375,Showgirls (1995),1.9565
80,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
80,Drama,2,981,Dangerous Ground (1997),1.75
80,Drama,3,1272,Talking About Sex (1994),1.8
80,Drama,4,1165,Big Bully (1996),1.8571
80,Drama,5,375,Showgirls (1995),1.9565
81,Comedy,1,1287,Ed (1996),1.3333
81,Comedy,2,104,Theodore Rex (1995),1.4
81,Comedy,3,1246,Bushwhacked (1995),1.5714
81,Comedy,4,1162,Phat Beach (1996),1.6
81,Comedy,5,1509,Getting Even with Dad (1994),1.6
82,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
82,Drama,2,981,Dangerous Ground (1997),1.75
82,Drama,3,1272,Talking About Sex (1994),1.8
82,Drama,4,1165,Big Bully (1996),1.8571
82,Drama,5,375,Showgirls (1995),1.9565
83,Comedy,1,1287,Ed (1996),1.3333
83,Comedy,2,104,Theodore Rex (1995),1.4
83,Comedy,3,1246,Bushwhacked (1995),1.5714
83,Comedy,4,1162,Phat Beach (1996),1.6
83,Comedy,5,1509,Getting Even with Dad (1994),1.6
84,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
84,Drama,2,981,Dangerous Ground (1997),1.75
84,Drama,3,1272,Talking About Sex (1994),1.8
84,Drama,4,1165,Big Bully (1996),1.8571
84,Drama,5,375,Showgirls (1995),1.9565
85,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
85,Drama,2,981,Dangerous Ground (1997),1.75
85,Drama,3,1272,Talking About Sex (1994),1.8
85,Drama,4,1165,Big Bully (1996),1.8571
85,Drama,5,375,Showgirls (1995),1.9565
86,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
86,Drama,2,981,Dangerous Ground (1997),1.75
86,Drama,3,1272,Talking About Sex (1994),1.8
86,Drama,4,1165,Big Bully (1996),1.8571
86,Drama,5,375,Showgirls (1995),1.9565
87,Comedy,1,1287,Ed (1996),1.3333
87,Comedy,2,104,Theodore Rex (1995),1.4
87,Comedy,3,1246,Bushwhacked (1995),1.5714
87,Comedy,4,1162,Phat Beach (1996),1.6
87,Comedy,5,1509,Getting Even with Dad (1994),1.6
88,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
88,Drama,2,981,Dangerous Ground (1997),1.75
88,Drama,3,1272,Talking About Sex (1994),1.8
88,Drama,4,1165,Big Bully (1996),1.8571
88,Drama,5,375,Showgirls (1995),1.9565
89,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
89,Drama,2,981,Dangerous Ground (1997),1.75
89,Drama,3,1272,Talking About Sex (1994),1.8
89,Drama,4,1165,Big Bully (1996),1.8571
89,Drama,5,375,Showgirls (1995),1.9565
90,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
90,Drama,2,981,Dangerous Ground (1997),1.75
90,Drama,3,1272,Talking About Sex (1994),1.8
90,Drama,4,1165,Big Bully (1996),1.8571
90,Drama,5,375,Showgirls (1995),1.9565
91,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
91,Drama,2,981,Dangerous Ground (1997),1.75
91,Drama,3,1272,Talking About Sex (1994),1.8
91,Drama,4,1165,Big Bully (1996),1.8571
91,Drama,5,375,Showgirls (1995),1.9565
92,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
92,Drama,2,981,Dangerous Ground (1997),1.75
92,Drama,3,1272,Talking About Sex (1994),1.8
92,Drama,4,1165,Big Bully (1996),1.8571
92,Drama,5,375,Showgirls (1995),1.9565
93,Comedy,1,1287,Ed (1996),1.3333
93,Comedy,2,104,Theodore Rex (1995),1.4
93,Comedy,3,1246,Bushwhacked (1995),1.5714
93,Comedy,4,1509,Getting Even with Dad (1994),1.6
93,Comedy,5,1162,Phat Beach (1996),1.6
94,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
94,Drama,2,981,Dangerous Ground (1997),1.75
94,Drama,3,1272,Talking About Sex (1994),1.8
94,Drama,4,1165,Big Bully (1996),1.8571
94,Drama,5,375,Showgirls (1995),1.9565
95,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
95,Drama,2,981,Dangerous Ground (1997),1.75
95,Drama,3,1272,Talking About Sex (1994),1.8
95,Drama,4,1165,Big Bully (1996),1.8571
95,Drama,5,375,Showgirls (1995),1.9565
96,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
96,Drama,2,981,Dangerous Ground (1997),1.75
96,Drama,3,1272,Talking About Sex (1994),1.8
96,Drama,4,1165,Big Bully (1996),1.8571
96,Drama,5,375,Showgirls (1995),1.9565
97,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
97,Drama,2,981,Dangerous Ground (1997),1.75
97,Drama,3,1272,Talking About Sex (1994),1.8
97,Drama,4,1165,Big Bully (1996),1.8571
97,Drama,5,375,Showgirls (1995),1.9565
98,Comedy,1,1287,Ed (1996),1.3333
98,Comedy,2,104,Theodore Rex (1995),1.4
98,Comedy,3,1246,Bushwhacked (1995),1.5714
98,Comedy,4,1162,Phat Beach (1996),1.6
98,Comedy,5,1509,Getting Even with Dad (1994),1.6
99,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
99,Drama,2,981,Dangerous Ground (1997),1.75
99,Drama,3,1272,Talking About Sex (1994),1.8
99,Drama,4,1165,Big Bully (1996),1.8571
99,Drama,5,375,Showgirls (1995),1.9565
100,Drama,1,457,Free Willy 3: The Rescue (1997),1.7407
100,Drama,2,981,Dangerous Ground (1997),1.75
100,Drama,3,1272,Talking About Sex (1994),1.8
100,Drama,4,1165,Big Bully (1996),1.8571
100,Drama,5,375,Showgirls (1995),1.9565
101,Comedy,1,1287,Ed (1996),1.3333
101,Comedy,2,104,Theodore Rex (1995),1.4
101,Comedy,3,1246,Bushwhacked (1995),1.5714
101,Comedy,4,1509,Getting Even with Dad (1994),1.6
101,Comedy,5,1162,Phat Beach (1996),1.6
102,Action,1,314,3 Ninjas: High Noon At Mega Mountain (1998),1.0
102,Action,2,1250,Best of the Best 3: No Turning Back (1995),1.5
