movie_id,avg_rating,rating_count,title
886,3.0755,53,"Life Less Ordinary, A (1997)"
512,4,57,Wings of Desire (1987)
221,3.7297,74,Breaking the Waves (1996)
493,4.15,60,"Thin Man, The (1934)"
122,2.3396,106,"Cable Guy, The (1996)"
868,3.8,5,Hearts and Minds (1996)
1337,2.3333,9,Larger Than Life (1996)
1539,1.75,4,Being Human (1993)
649,3.4,50,Once Upon a Time in America (1984)
1295,2.5714,7,Kicked in the Head (1997)
1286,3.7059,17,Shall We Dance? (1937)
1048,3.0137,73,She's the One (1996)
701,4,10,"Wonderful, Horrible Life of Leni Riefenstahl, The (1993)"
1517,2.8,5,Race the Sun (1996)
646,3.8684,38,Once Upon a Time in the West (1969)
874,3.2564,39,Career Girls (1997)
1376,2.1429,7,Meet Wally Sparks (1997)
476,3.0188,160,"First Wives Club, The (1996)"
534,3.3077,13,Traveller (1997)
936,3.9375,32,Brassed Off (1996)
1584,1,1,"Symphonie pastorale, La (1946)"
769,2.4524,42,Congo (1995)
1580,1,1,Liebelei (1933)
1199,2.8696,23,Cemetery Man (Dellamorte Dellamore) (1994)
23,4.1209,182,Taxi Driver (1976)
114,4.4478,67,Wallace & Gromit: The Best of Aardman Animation (1996)
1548,1,1,The Courtyard (1995)
1190,3.3636,11,That Old Feeling (1997)
760,2.6522,46,Screamers (1995)
48,4.094,117,Hoop Dreams (1994)
101,3.2603,73,Heavy Metal (1981)
1543,3,1,Johns (1996)
299,2.9315,73,Hoodlum (1997)
850,4,4,"Perfect Candidate, A (1996)"
872,3.0952,42,Love Jones (1997)
803,2.5556,9,Heaven & Earth (1993)
480,4.2849,179,North by Northwest (1959)
470,3.6667,108,Tombstone (1993)
647,4.1,70,Ran (1985)
1592,3.6,5,"Magic Hour, The (1998)"
219,3.1712,111,"Nightmare on Elm Street, A (1984)"
695,2.9231,13,Kicking and Screaming (1995)
475,3.884,250,Trainspotting (1996)
825,3.0361,83,"Arrival, The (1996)"
86,3.94,150,"Remains of the Day, The (1993)"
1104,3,4,C'est arriv� pr�s de chez vous (1992)
89,4.1382,275,Blade Runner (1982)
78,2.4545,33,Free Willy (1993)
265,3.8634,227,"Hunt for Red October, The (1990)"
1307,1.5,2,Carmen Miranda: Bananas Is My Business (1994)
1255,2.25,8,Broken English (1996)
216,3.9103,290,When Harry Met Sally... (1989)
1115,3.4138,29,Twelfth Night (1996)
1670,3,1,Tainted (1998)
243,2.4394,132,Jungle2Jungle (1997)
1367,4.2,5,Faust (1994)
1079,2.2444,45,Joe's Apartment (1996)
462,3.8041,148,Like Water For Chocolate (Como agua para chocolate) (1992)
952,3.1778,45,Blue in the Face (1995)
1152,3.4286,28,In Love and War (1996)
189,4.1061,66,"Grand Day Out, A (1992)"
1347,2.75,4,"Ballad of Narayama, The (Narayama Bushiko) (1958)"
1177,1.8571,7,Dunston Checks In (1996)
982,2.8,20,Maximum Risk (1996)
1149,3.8462,26,Walkabout (1971)
1467,5,2,"Saint of Fort Washington, The (1993)"
1261,3.25,4,"Run of the Country, The (1995)"
375,1.9565,23,Showgirls (1995)
355,2.9268,41,Sphere (1998)
851,3.75,4,Two or Three Things I Know About Her (1966)
99,3.7093,172,Snow White and the Seven Dwarfs (1937)
222,3.6603,365,Star Trek: First Contact (1996)
755,3.3125,96,Jumanji (1995)
160,3.4638,69,Glengarry Glen Ross (1992)
1308,1,2,Babyfever (1994)
390,3.2,10,Fear of a Black Hat (1993)
1130,4,1,Jupiter's Wife (1994)
11,3.8475,236,Seven (Se7en) (1995)
1342,2.5,2,"Convent, The (Convento, O) (1995)"
280,3.1882,85,Up Close and Personal (1996)
1456,3.7143,7,Beat the Devil (1954)
859,2.6667,15,April Fool's Day (1986)
151,3.6319,326,Willy Wonka and the Chocolate Factory (1971)
1054,2.3043,23,Mr. Wrong (1996)
1223,3.5,4,King of the Hill (1993)
494,4,56,His Girl Friday (1940)
962,3.1304,23,Ruby in Paradise (1993)
357,4.2917,264,One Flew Over the Cuckoo's Nest (1975)
793,3.5,10,Crooklyn (1994)
1575,1,1,"I, Worst of All (Yo, la peor de todas) (1990)"
442,1.25,4,"Amityville Curse, The (1990)"
524,4.0217,46,"Great Dictator, The (1940)"
558,3.6714,70,Heavenly Creatures (1994)
1600,3.75,4,Guantanamera (1994)
712,3.0784,51,Tin Men (1987)
1620,3.2222,9,"Sixth Man, The (1997)"
1084,3.8571,21,Anne Frank Remembered (1995)
1414,2,1,Coldblooded (1995)
43,3,40,Disclosure (1994)
552,2.8667,45,Species (1995)
927,3.1667,6,"Flower of My Secret, The (Flor de mi secreto, La) (1995)"
130,2.2609,23,Kansas City (1996)
813,3.8929,56,"Celluloid Closet, The (1995)"
8,3.9954,219,Babe (1995)
1635,3,1,Two Friends (1986) 
1097,3.5,18,"Hate (Haine, La) (1995)"
1082,2.625,8,Female Perversions (1996)
1140,2.2941,17,"Road to Wellville, The (1994)"
571,2.5,28,Another Stakeout (1993)
711,4,1,"Substance of Fire, The (1996)"
783,2.7297,37,Milk Money (1994)
527,4.0205,195,Gandhi (1982)
352,2.1154,26,Spice World (1997)
401,2.8026,76,"Brady Bunch Movie, The (1995)"
364,2.6757,37,Ace Ventura: When Nature Calls (1995)
1030,2.25,20,"Beverly Hillbillies, The (1993)"
292,3.6667,114,Rosewood (1997)
544,3.1549,71,Things to Do in Denver when You're Dead (1995)
266,2.7143,35,Kull the Conqueror (1997)
1657,3,1,Target (1995)
1443,3.75,4,8 Seconds (1994)
1062,3.75,12,Four Days in September (1997)
1090,2.4054,37,Sliver (1993)
1210,2.7368,38,Virtuosity (1995)
1309,1,1,"Very Natural Thing, A (1974)"
87,3.9058,138,Searching for Bobby Fischer (1993)
772,3.0612,49,Kids (1995)
202,3.7643,280,Groundhog Day (1993)
722,2.931,58,Nine Months (1995)
1552,2,3,"Hunted, The (1995)"
395,2.5893,56,Robin Hood: Men in Tights (1993)
795,2.4286,21,Richie Rich (1994)
426,2.8438,32,"Transformers: The Movie, The (1986)"
673,3.5233,86,Cape Fear (1962)
950,2.9,30,Georgia (1995)
747,3.4608,102,Benny & Joon (1993)
399,3.3034,89,"Three Musketeers, The (1993)"
70,3.6614,251,Four Weddings and a Funeral (1994)
234,3.775,280,Jaws (1975)
1648,2,1,"Niagara, Niagara (1997)"
293,3.8027,147,Donnie Brasco (1997)
610,3.6585,41,Gigi (1958)
452,2.6667,66,Jaws 2 (1978)
447,3.5041,121,Carrie (1976)
449,3.0342,117,Star Trek: The Motion Picture (1979)
1546,1,1,Shadows (Cienie) (1988)
735,3.854,137,Philadelphia (1993)
1161,2.9231,13,Palookaville (1996)
715,3.2759,87,To Die For (1995)
1071,2.875,16,Party Girl (1995)
1415,2.4444,9,"Next Karate Kid, The (1994)"
540,2.5116,43,Money Train (1995)
133,3.8713,171,Gone with the Wind (1939)
450,2.3968,63,Star Trek V: The Final Frontier (1989)
734,2.5185,27,Made in America (1993)
811,3.9444,18,Thirty-Two Short Films About Glenn Gould (1993)
933,2.4286,21,"Funeral, The (1996)"
196,3.9163,251,Dead Poets Society (1989)
1613,4,1,Tokyo Fist (1995)
136,4.1238,105,Mr. Smith Goes to Washington (1939)
990,3.0909,33,Anna Karenina (1997)
1627,3,1,"Wife, The (1995)"
1446,3.1333,15,"Bye Bye, Love (1995)"
239,3.5133,150,Sneakers (1992)
1656,3.5,2,Little City (1998)
1497,3,2,"Line King: Al Hirschfeld, The (1996)"
1000,3,10,Lightning Jack (1994)
1081,2.75,8,Curdled (1996)
489,4.1154,52,Notorious (1946)
1259,2,4,Pie in the Sky (1995)
1577,1,1,"Death in the Garden (Mort en ce jardin, La) (1956)"
1315,3.1304,23,Inventing the Abbotts (1997)
1429,2.75,4,Sliding Doors (1998)
812,3.1111,18,Andre (1994)
393,3.4115,192,Mrs. Doubtfire (1993)
582,3.6012,168,"Piano, The (1993)"
371,3.1642,67,"Bridges of Madison County, The (1995)"
561,3.0678,59,Mary Shelley's Frankenstein (1994)
448,3.3882,85,"Omen, The (1976)"
308,2.9667,30,FairyTale: A True Story (1997)
782,2.6,10,Little Odessa (1994)
860,2.25,16,"Believers, The (1987)"
333,3.5936,251,"Game, The (1997)"
856,3.8333,36,Night on Earth (1991)
1615,3,10,Warriors of Virtue (1997)
7,3.7985,392,Twelve Monkeys (1995)
226,3.3554,166,Die Hard 2 (1990)
1590,2,2,"To Have, or Not (1995)"
636,3.2418,91,Escape from New York (1981)
1110,2.8537,41,Tank Girl (1995)
1225,2.6429,14,Angus (1995)
1324,2.4,5,Loaded (1994)
896,3.7727,44,"Sweet Hereafter, The (1997)"
757,2.75,4,Across the Sea of Time (1995)
902,3.8333,42,"Big Lebowski, The (1998)"
400,2.7222,18,"Little Rascals, The (1994)"
205,3.9926,136,Patton (1970)
752,3.3077,39,"Replacement Killers, The (1998)"
306,3.9479,96,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)"
1523,3,2,"Good Man in Africa, A (1994)"
1035,3.1618,68,Cool Runnings (1993)
519,4.1,80,"Treasure of the Sierra Madre, The (1948)"
6,3.5769,26,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
684,3.7929,169,In the Line of Fire (1993)
648,4.0299,67,"Quiet Man, The (1952)"
954,3.5455,11,Unzipped (1995)
785,3.1538,39,Only You (1994)
609,3.5833,60,Father of the Bride (1950)
1138,3.4,5,Best Men (1997)
71,3.7818,220,"Lion King, The (1994)"
126,3.8041,97,"Spitfire Grill, The (1996)"
294,3.1567,485,Liar Liar (1997)
1114,3.3,10,Faithful (1996)
4,3.5502,209,Get Shorty (1995)
903,3.1111,18,Afterglow (1997)
434,3.8358,67,Forbidden Planet (1956)
18,2.8,10,"White Balloon, The (1995)"
1291,2.2,15,Celtic Pride (1996)
1381,3.25,8,Losing Chase (1996)
1423,2.25,4,"Walking Dead, The (1995)"
1215,1.9333,30,Barb Wire (1996)
1449,4.625,8,Pather Panchali (1955)
686,3.68,50,"Perfect World, A (1993)"
1219,2.9,20,"Goofy Movie, A (1995)"
1034,2.5185,27,"Quest, The (1996)"
1664,3.25,4,8 Heads in a Duffel Bag (1997)
880,3.1695,59,Soul Food (1997)
224,3.7045,44,Ridicule (1996)
900,3.6905,42,Kundun (1997)
152,3.6341,82,Sleeper (1973)
1156,3,1,Cyclo (1995)
495,3.661,59,Around the World in 80 Days (1956)
1461,2,1,Here Comes Cookie (1935)
135,3.9691,259,2001: A Space Odyssey (1968)
928,3.1154,104,"Craft, The (1996)"
1643,3.75,4,Angel Baby (1995)
435,3.9491,216,Butch Cassidy and the Sundance Kid (1969)
329,3.3333,45,Desperate Measures (1998)
975,3.1591,44,Fear (1996)
272,4.2626,198,Good Will Hunting (1997)
1099,3.4615,13,"Red Firecracker, Green Firecracker (1994)"
31,3.6299,154,Crimson Tide (1995)
1375,3.6,10,"Cement Garden, The (1993)"
1137,3.9655,29,Beautiful Thing (1996)
531,3.9225,129,Shine (1996)
166,4.1207,58,Manon of the Spring (Manon des sources) (1986)
1098,3.6905,42,Flirting With Disaster (1996)
1374,1,2,Falling in Love Again (1980)
614,3.7451,51,Giant (1956)
980,3.1818,22,Mother Night (1996)
1448,3.6667,3,My Favorite Season (1993)
52,3.7692,91,"Madness of King George, The (1994)"
1168,3.3182,22,Little Buddha (1993)
311,3.68,75,"Wings of the Dove, The (1997)"
574,2.2,15,Boxing Helena (1993)
1267,3,33,Clockers (1995)
1283,2.6842,19,Out to Sea (1997)
917,3.4286,7,Mercury Rising (1998)
1170,3.0741,27,Spanking the Monkey (1994)
285,4.2654,162,Secrets & Lies (1996)
805,3.6296,27,Manhattan Murder Mystery (1993)
1585,2.5,2,American Dream (1990)
550,3.2848,151,Die Hard: With a Vengeance (1995)
809,2.907,43,Rising Sun (1993)
1509,1.6,5,Getting Even with Dad (1994)
1134,3.3158,38,Get on the Bus (1996)
1033,2.7813,32,Homeward Bound II: Lost in San Francisco (1996)
629,3.3377,77,Victor/Victoria (1982)
932,2.925,40,First Kid (1996)
386,2.8161,87,Addams Family Values (1993)
158,2.6167,60,Weekend at Bernie's (1989)
348,3.2963,27,Desperate Measures (1998)
1241,2.6667,6,"Van, The (1996)"
142,3.0702,57,Bedknobs and Broomsticks (1971)
510,3.9421,121,"Magnificent Seven, The (1954)"
883,3.2308,13,Telling Lies in America (1997)
899,3.4444,9,"Winter Guest, The (1997)"
360,3.2,10,Wonderland (1997)
707,3.9286,70,Enchanted April (1991)
1301,3.8,5,Stripes (1981)
491,3.791,67,"Adventures of Robin Hood, The (1938)"
1001,2,17,"Stupids, The (1996)"
1438,2.4,5,Panther (1995)
702,3.0189,53,Barcelona (1994)
1519,3,2,New Jersey Drive (1995)
1046,3.1739,46,Malice (1993)
602,3.7,50,"American in Paris, An (1951)"
98,4.2897,390,"Silence of the Lambs, The (1991)"
1373,1,1,Good Morning (1971)
1284,2.8462,26,Before and After (1996)
1310,3,1,"Walk in the Sun, A (1945)"
801,2.8125,16,"Air Up There, The (1994)"
564,2.037,27,Tales from the Hood (1995)
890,1.9535,43,Mortal Kombat: Annihilation (1997)
861,2.3333,3,Nosferatu a Venezia (1986)
1676,2,1,"War at Home, The (1996)"
685,3.3567,157,Executive Decision (1996)
1358,3,2,The Deadly Cure (1996)
1645,4,1,"Butcher Boy, The (1998)"
350,3.1463,41,Fallen (1998)
383,2.0645,31,"Flintstones, The (1994)"
692,3.628,164,"American President, The (1995)"
1406,3.4,5,When Night Is Falling (1995)
1174,3.25,8,Caught (1996)
1460,3,1,Sleepover (1995)
1234,2.375,8,Chairman of the Board (1998)
1437,2,9,House Party 3 (1994)
526,3.8306,124,Ben-Hur (1959)
1370,2.6667,3,I Can't Sleep (J'ai pas sommeil) (1994)
162,3.5566,106,On Golden Pond (1981)
589,4.0233,43,"Wild Bunch, The (1969)"
600,3,2,Daniel Defoe's Robinson Crusoe (1996)
569,2.7015,67,Wolf (1994)
1265,3.0526,19,Star Maps (1997)
716,3.1552,58,Home for the Holidays (1995)
1379,2.8571,7,Love and Other Catastrophes (1996)
1368,3.6667,6,Mina Tannenbaum (1994)
1384,1.6667,3,Squeeze (1996)
17,3.1196,92,From Dusk Till Dawn (1996)
971,3.6765,34,Mediterraneo (1991)
984,2.8636,44,Shadow Conspiracy (1997)
1187,3.2308,13,Switchblade Sisters (1975)
1159,3.5455,11,Stalker (1979)
897,1.5,2,Time Tracers (1995)
1126,3.3438,32,"Old Man and the Sea, The (1958)"
1179,2.1111,9,Man of the House (1995)
228,3.8156,244,Star Trek: The Wrath of Khan (1982)
930,2.7,80,Chain Reaction (1996)
1599,5,1,Someone Else's America (1995)
1252,3,9,"Contempt (M�pris, Le) (1963)"
1619,3,1,All Things Fair (1996)
92,3.6154,104,True Romance (1993)
1169,4.1,10,Fresh (1994)
1094,2.4167,12,"Thin Line Between Love and Hate, A (1996)"
1011,3.2258,93,2 Days in the Valley (1996)
204,3.8343,350,Back to the Future (1985)
705,3.9927,137,Singin' in the Rain (1952)
557,3.1176,17,Farinelli: il castrato (1994)
599,1,1,Police Story 4: Project S (Chao ji ji hua) (1993)
46,3.5556,27,Exotica (1994)
992,3,4,Head Above Water (1996)
1096,2.6667,3,Commandments (1997)
641,4.2121,33,Paths of Glory (1957)
1662,2.5,2,Rough Magic (1995)
309,2.8571,28,Deceiver (1997)
800,2.8846,26,In the Mouth of Madness (1995)
1402,2.75,4,"Ciao, Professore! (1993)"
232,3.2079,101,Young Guns (1988)
103,1.8667,15,All Dogs Go to Heaven 2 (1996)
986,2.5652,23,Turbulence (1997)
1614,3,1,"Reluctant Debutante, The (1958)"
945,3.925,40,Charade (1963)
1063,3.6585,41,"Little Princess, A (1995)"
1665,2,1,"Brother's Kiss, A (1997)"
373,2.8974,39,Judge Dredd (1995)
332,3.4615,143,Kiss the Girls (1997)
623,2.9231,39,Angels in the Outfield (1994)
770,3.386,57,Devil in a Blue Dress (1995)
33,3.4536,97,Desperado (1995)
1331,3,4,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995)"
438,1.1667,6,Amityville 3-D (1983)
1154,3.3333,12,Alphaville (1965)
1383,2,6,"Second Jungle Book: Mowgli & Baloo, The (1997)"
1587,1,1,Terror in a Texas Town (1958)
995,3.1613,31,"Kiss Me, Guido (1997)"
547,3.3415,41,"Young Poisoner's Handbook, The (1995)"
1597,3,5,Romper Stomper (1992)
1407,2.25,20,"Specialist, The (1994)"
153,3.7854,247,"Fish Called Wanda, A (1988)"
1006,2.8261,23,Until the End of the World (Bis ans Ende der Welt) (1991)
178,4.344,125,12 Angry Men (1957)
323,2.9333,240,Dante's Peak (1997)
538,3.4242,66,Anastasia (1997)
1412,1.6667,6,Land Before Time III: The Time of the Great Giving (1995) (V)
248,3.675,160,Grosse Pointe Blank (1997)
1427,2.8,5,Drunks (1995)
994,2.2857,7,"Last Time I Committed Suicide, The (1997)"
50,4.3585,583,Star Wars (1977)
733,3.2,15,Go Fish (1994)
548,2.1667,12,"NeverEnding Story III, The (1994)"
1067,3.4545,44,Bottle Rocket (1996)
1345,2,2,"Day the Sun Turned Cold, The (Tianguo niezi) (1994)"
1430,2.3333,3,Ill Gotten Gains (1997)
1551,2,2,"Glass Shield, The (1994)"
1540,2.8,10,"Amazing Panda Adventure, The (1995)"
514,3.9111,180,Annie Hall (1977)
95,3.8128,219,Aladdin (1992)
947,3.2353,17,"Big Blue, The (Grand bleu, Le) (1988)"
485,3.816,125,My Fair Lady (1964)
608,3.9333,30,Spellbound (1945)
758,1.7143,21,Lawnmower Man 2: Beyond Cyberspace (1996)
1363,1,1,"Leopard Son, The (1996)"
1604,4,1,He Walked by Night (1948)
88,3.5399,213,Sleepless in Seattle (1993)
1165,1.8571,14,Big Bully (1996)
100,4.1555,508,Fargo (1996)
1538,3,3,All Over Me (1997)
1479,2.75,8,Reckless (1995)
1012,3.53,100,Private Parts (1997)
1564,1,1,To Cross the Rubicon (1991)
502,3.7018,57,Bananas (1971)
464,3.5926,27,Vanya on 42nd Street (1994)
295,3.4026,77,Breakdown (1997)
317,3.9118,102,In the Name of the Father (1993)
1416,2.4,5,No Escape (1994)
873,2.963,81,Picture Perfect (1997)
1055,3.2,10,"Simple Twist of Fate, A (1994)"
1326,3.3333,6,Boys (1996)
1480,2.2727,11,Herbie Rides Again (1974)
501,3.4959,123,Dumbo (1941)
914,2.7273,11,Wild Things (1998)
1312,3,7,"Pompatus of Love, The (1996)"
780,3,69,Dumb & Dumber (1994)
423,3.8333,300,E.T. the Extra-Terrestrial (1982)
1248,3,19,Blink (1994)
1672,2,2,Kika (1993)
274,3.5,190,Sabrina (1995)
185,4.1004,239,Psycho (1960)
1378,2.2,5,Rhyme & Reason (1997)
1330,2.5,4,An Unforgettable Summer (1994)
1646,3.5,2,Men With Guns (1997)
5,3.3023,86,Copycat (1995)
751,3.4278,180,Tomorrow Never Dies (1997)
28,3.9312,276,Apollo 13 (1995)
844,3.3571,42,Freeway (1996)
455,3.2552,145,Jackie Chan's First Strike (1996)
1439,3,8,Jason's Lyric (1994)
343,3.0968,124,Alien: Resurrection (1997)
1004,3.1111,9,Geronimo: An American Legend (1993)
841,2.75,48,"Glimmer Man, The (1996)"
1243,3.7143,7,Night Flier (1997)
273,3.5695,223,Heat (1995)
144,3.8724,243,Die Hard (1988)
1275,2.5,4,Killer (Bulletproof Heart) (1994)
948,2.1667,48,Booty Call (1997)
718,3.6875,16,In the Bleak Midwinter (1995)
567,2.8,35,Wes Craven's New Nightmare (1994)
120,2.2388,67,Striptease (1996)
1450,4,2,Golden Earrings (1947)
1522,2.4286,7,Trial by Jury (1994)
1191,4.3333,3,"Letter From Death Row, A (1998)"
1109,3.4286,28,Death and the Maiden (1994)
1175,3.4,5,Hugo Pool (1997)
1618,1,1,King of New York (1990)
1474,2.8333,6,Nina Takes a Lover (1994)
1671,1,1,"Further Gesture, A (1996)"
601,4,20,For Whom the Bell Tolls (1943)
1051,3.2439,41,"Associate, The (1996)"
799,3.2,5,Boys Life (1995)
1525,4,1,"Object of My Affection, The (1998)"
220,3.3636,66,"Mirror Has Two Faces, The (1996)"
44,3.3418,79,Dolores Claiborne (1994)
941,3.0652,46,With Honors (1994)
689,3.1494,87,"Jackal, The (1997)"
693,3.6484,91,Casino (1995)
1576,1,1,"Hungarian Fairy Tale, A (1987)"
1570,1,1,Quartier Mozart (1992)
155,3.102,98,Dirty Dancing (1987)
934,2.9265,68,"Preacher's Wife, The (1996)"
901,1.9167,12,Mr. Magoo (1997)
345,3.4,65,Deconstructing Harry (1997)
892,2.7547,53,Flubber (1997)
1338,2.25,4,Two Deaths (1995)
1677,3,1,Sweet Nothing (1995)
446,2.4444,9,Burnt Offerings (1976)
116,3.824,125,Cold Comfort Farm (1995)
891,2.6667,6,Bent (1997)
121,3.4382,429,Independence Day (ID4) (1996)
580,3.375,32,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)"
1007,4.1277,47,Waiting for Guffman (1996)
1582,1,1,T-Men (1947)
282,3.6853,232,"Time to Kill, A (1996)"
432,3.7701,174,Fantasia (1940)
372,3.5294,34,Jeffrey (1995)
315,4.1,160,Apt Pupil (1998)
958,3.7857,14,To Live (Huozhe) (1994)
1610,2,3,"Truth or Consequences, N.M. (1997)"
249,3.2462,130,Austin Powers: International Man of Mystery (1997)
1339,1,1,Stefano Quantestorie (1993)
870,2.7778,9,Touch (1997)
698,3,10,"Browning Version, The (1994)"
366,3.3404,47,Dangerous Minds (1995)
421,3.5943,106,William Shakespeare's Romeo and Juliet (1996)
262,3.7121,66,In the Company of Men (1997)
1526,4,1,Witness (1985)
1390,2,2,"Innocent Sleep, The (1995)"
1451,3.8667,15,Foreign Correspondent (1940)
688,1.8409,44,Leave It to Beaver (1997)
560,2.7273,22,"Kid in King Arthur's Court, A (1995)"
1087,1.7,10,Bloodsport 2 (1995)
1016,3.4599,137,Con Air (1997)
638,3.7727,44,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)"
912,3,9,U.S. Marshalls (1998)
188,3.6824,170,Full Metal Jacket (1987)
93,3.7232,112,Welcome to the Dollhouse (1995)
915,3.9231,13,Primary Colors (1998)
839,2.5,4,Loch Ness (1995)
418,3.5814,129,Cinderella (1950)
1003,2.25,8,That Darn Cat! (1997)
634,3.75,24,Microcosmos: Le peuple de l'herbe (1996)
104,1.4,5,Theodore Rex (1995)
1287,1.3333,6,Ed (1996)
1629,4,2,Nico Icon (1995)
1108,2.4,5,Feast of July (1995)
717,2.8171,82,"Juror, The (1996)"
1086,3.2857,21,It's My Party (1995)
102,3.1296,54,"Aristocats, The (1970)"
882,3.2941,34,Washington Square (1997)
305,3.6437,87,"Ice Storm, The (1997)"
106,2.8873,71,Diabolique (1996)
687,2.1884,69,McHale's Navy (1997)
1021,3.8158,38,8 1/2 (1963)
35,2.1818,11,Free Willy 2: The Adventure Home (1995)
482,3.9844,128,Some Like It Hot (1959)
920,2.2,5,Two Bits (1995)
1679,3,1,B. Monkey (1998)
97,3.793,256,Dances with Wolves (1990)
1260,2.75,4,Total Eclipse (1995)
1440,3,5,Above the Rim (1994)
1002,1.875,8,"Pest, The (1997)"
165,4.1094,64,Jean de Florette (1986)
1667,3,1,"Next Step, The (1995)"
576,3.0215,93,Cliffhanger (1993)
562,3.2083,48,"Quick and the Dead, The (1995)"
1634,2,1,Etz Hadomim Tafus (Under the Domin Tree) (1994)
349,2.9032,31,Hard Rain (1998)
972,3.1786,28,Passion Fish (1992)
1127,2.9091,11,"Truman Show, The (1998)"
1669,2,1,MURDER and murder (1996)
1128,2.6923,13,Heidi Fleiss: Hollywood Madam (1995) 
443,3.8086,162,"Birds, The (1963)"
335,2.7619,21,How to Be a Player (1997)
781,3.3333,84,French Kiss (1995)
1537,4,4,Cosi (1996)
230,3.4472,199,Star Trek IV: The Voyage Home (1986)
1524,4.25,8,Kaspar Hauser (1993)
367,3.4588,170,Clueless (1995)
703,3.5789,19,Widows' Peak (1994)
14,3.9672,183,"Postino, Il (1994)"
683,2.4082,49,Rocket Man (1997)
180,4.0452,221,Apocalypse Now (1979)
267,3.4444,9,unknown
806,3.46,50,Menace II Society (1993)
1043,3,8,Rent-a-Kid (1995)
1205,3,6,"Secret Agent, The (1996)"
1017,3.24,50,Trees Lounge (1996)
1612,3.75,4,"Leading Man, The (1996)"
15,3.7782,293,Mr. Holland's Opus (1995)
244,3.1667,48,Smilla's Sense of Snow (1997)
1242,2.6,5,"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)"
415,2.84,25,"Apple Dumpling Gang, The (1975)"
40,2.8947,57,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
679,3.0467,107,Conan the Barbarian (1981)
1022,3.4375,32,"Fast, Cheap & Out of Control (1997)"
1531,3.2857,7,Far From Home: The Adventures of Yellow Dog (1995)
1262,3.625,8,Walking and Talking (1996)
198,4.0079,127,Nikita (La Femme Nikita) (1990)
556,2.5,12,Wild Bill (1995)
347,3.5109,137,Wag the Dog (1997)
68,3.4179,134,"Crow, The (1994)"
626,3.25,4,So Dear to My Heart (1949)
341,3.0909,11,Critical Care (1997)
179,3.9095,221,"Clockwork Orange, A (1971)"
1059,2.7714,35,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
