user_id,favorite_genre,genre_rating_count
322,Drama,24
440,Drama,28
73,Drama,31
381,Drama,63
671,Action,77
622,Action,77
746,Action,49
665,Drama,55
301,Comedy,98
64,Drama,78
506,Comedy,78
303,Comedy,184
405,Drama,309
312,Drama,96
621,Comedy,74
388,Thriller,22
595,Drama,40
887,Comedy,61
270,Drama,56
910,Drama,27
625,Drama,39
474,Drama,166
422,Drama,35
931,Drama,35
593,Drama,73
518,Drama,35
148,Drama,25
738,Action,66
764,Drama,45
223,Comedy,45
829,Drama,40
279,Comedy,211
183,Action,29
58,Drama,67
186,Thriller,51
555,Comedy,20
59,Drama,162
296,Drama,80
615,Drama,66
37,Action,50
290,Action,53
76,Drama,46
483,Action,24
807,Action,88
763,Drama,70
3,Drama,22
161,Drama,31
867,Drama,45
79,Drama,38
210,Comedy,59
505,Drama,45
16,Drama,56
532,Drama,95
846,Drama,161
661,Drama,49
